Sn,LabelName,DeviceAlias,RegName,RegisterTypes,StationNo,IsUseStationNoIndex,MainAddress,SubAddress,BlockAddress,IsUseBlockAddressIndex,UseWordAsBit,StationAddressDeviceAlias,StationAddressRegName,StationAddressRegisterTypes,StationAddressStationNo,StationAddressMainAddress,StationAddressBlockAddress,BlockAddressDeviceAlias,BlockAddressRegName,BlockAddressRegisterTypes,BlockAddressStationNo,BlockAddressMainAddress,BlockAddressBlockAddress,PlcId,StationAddressPlcId,BlockAddressPlcId,Version
60c68836-acb7-4d54-8090-e2b2ba1648ea,PLC_AI_1_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,104,0,0,False,False,,,,,,,,,,,,,4,,,1
e9963a74-c220-4540-86d0-80a14b118f58,PLC_AI_1_SP_LL,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,105,0,0,False,False,,,,,,,,,,,,,4,,,1
66f92c17-b109-4464-b689-8970e7476623,PLC_AI_1_SP_L,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,106,0,0,False,False,,,,,,,,,,,,,4,,,1
e9540580-b6fe-40eb-8982-c01b780d3f86,PLC_AI_1_SP_H,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,107,0,0,False,False,,,,,,,,,,,,,4,,,1
c4380bb2-60e2-4c41-ac0a-d907dcf7945c,PLC_AI_1_SP_HH,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,108,0,0,False,False,,,,,,,,,,,,,4,,,1
e759d589-93af-4c31-9efe-7be59d86da7f,PLC_AI_2_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,113,0,0,False,False,,,,,,,,,,,,,4,,,1
6e6cc6e7-4c91-4a00-9a54-6e47b745301f,PLC_AI_2_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,114,0,0,False,False,,,,,,,,,,,,,4,,,1
40d00560-db4a-4353-9dbd-e59637efa424,PLC_AI_2_SP_LL,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,115,0,0,False,False,,,,,,,,,,,,,4,,,1
52313fdd-1ab8-460a-b63d-38deb61063ef,PLC_AI_2_SP_L,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,116,0,0,False,False,,,,,,,,,,,,,4,,,1
09c83330-30f7-408c-a43e-ec68ecacd5e2,PLC_AI_2_SP_H,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,117,0,0,False,False,,,,,,,,,,,,,4,,,1
5d7311ec-d130-463d-bc5f-2436298fb3f6,PLC_AI_2_SP_HH,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,118,0,0,False,False,,,,,,,,,,,,,4,,,1
b1256d7f-e84c-443c-9f5b-0c53665be807,PLC_AI_3_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,123,0,0,False,False,,,,,,,,,,,,,4,,,1
729d51e9-9fb1-4332-bb12-cf7010bd6f77,PLC_AI_3_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,124,0,0,False,False,,,,,,,,,,,,,4,,,1
1fe81fa3-01bf-4518-87eb-67bfb9e773e9,PLC_AI_3_SP_LL,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,125,0,0,False,False,,,,,,,,,,,,,4,,,1
d4ecaa26-7f7e-4b64-80f8-3e48c5901dbd,PLC_AI_3_SP_L,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,126,0,0,False,False,,,,,,,,,,,,,4,,,1
12289746-2bff-4f2b-ae1a-ac233b037969,PLC_AI_3_SP_H,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,127,0,0,False,False,,,,,,,,,,,,,4,,,1
33ac3e41-de66-4ac9-a4a2-dd8679f6704b,PLC_AI_3_SP_HH,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,128,0,0,False,False,,,,,,,,,,,,,4,,,1
a83dc3a1-2831-431b-ac10-6a1f4ba996c3,PLC_AI_4_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,133,0,0,False,False,,,,,,,,,,,,,4,,,1
de7452a9-fc98-4fc6-b199-74a7012e71f9,PLC_AI_4_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,134,0,0,False,False,,,,,,,,,,,,,4,,,1
8ce6b239-330d-4a4e-b5b1-0ed143c978ec,PLC_AI_4_SP_LL,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,135,0,0,False,False,,,,,,,,,,,,,4,,,1
eae0c640-6c52-4f61-ae22-7c1f2926eb84,PLC_AI_4_SP_L,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,136,0,0,False,False,,,,,,,,,,,,,4,,,1
821efd9e-3ac1-458d-8f6c-05d88661999b,PLC_AI_4_SP_H,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,137,0,0,False,False,,,,,,,,,,,,,4,,,1
cb45c0f8-07eb-4630-9526-93f6d2c90137,PLC_AI_4_SP_HH,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,138,0,0,False,False,,,,,,,,,,,,,4,,,1
052701f7-3774-4209-88c2-c1562b0e0ea2,PLC_AO_2_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,146,0,0,False,False,,,,,,,,,,,,,4,,,1
f65bc09e-e274-46df-a89c-6d0796b688da,PLC_AO_2_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,147,0,0,False,False,,,,,,,,,,,,,4,,,1
e196247f-5ea3-416c-b75e-f4513c53b46e,PLC_AO_3_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,150,0,0,False,False,,,,,,,,,,,,,4,,,1
0e85ed80-fdeb-4e55-a832-b9ee075c0220,PLC_AO_3_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,151,0,0,False,False,,,,,,,,,,,,,4,,,1
40634472-6633-4b92-b48b-1d167d004fac,PLC_AO_4_Result,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,154,0,0,False,False,,,,,,,,,,,,,4,,,1
9a8ea612-a552-4e4d-87fe-227fc708320d,PLC_AO_4_Max,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,155,0,0,False,False,,,,,,,,,,,,,4,,,1
0bb941f1-3c4d-4f2a-bb11-fc91f34a15d3,sys_in_update,Device1:[МестныеCOM2:Modbus RTU],4X,Word,1,False,98,0,0,False,True,,,,,,,,,,,,,4,,,1
